time,debt,equity,id,leverage,m10_Household_installments,m11_Corporate_mortgages,m12_Household_mortgages,m13_Corporate_credit_card,m14_Household_credit_card,m15_Corporate_leasing,m16_Household_leasing,m17_Corporate_unsecured_lending,m18_Household_unsecured_lending,m19_Other_credit,m1_South_African_bank_notes_and_subsidiary_coin,m20_Central_and_provincial_government_bonds,m21_Other_public_sector_bonds,m22_Private_sector_bonds,m23_Equity_holdings_in_subsidiaries_and_joint_ventures,m24_Listed_and_unlisted_equities,m25_Securitisation/ asset-backed_securities,m26_Derivative_instruments,m27_Treasury_bills_SA_Reserve_Bank_bills_Land_Bank_bills,m28_Other_investments_less_impairments,m29_Non_financial_assets,m2_Gold_coin_and_bullion,m3_Domestic_currency_deposits_with_SA_Reserve_Bank,m4_SA_Interbank,m5_Rand_Deposits_to_and_loans_to_foreign_banks,m6_Loans_granted_under_repo_agreement,m7_Foreign_currency_loans_and_advances,m8_Redeemable_preference_shares,m9_Corporate_installments,month,name,time,total_assets,year
2018-12-01,1220950903000.0,96998999000.0,A,12.587252606596486,0.02678937488171686,0.07325909114867099,0.23718397150425222,0.0026405943008295015,0.021220124496052355,0.003091578817841894,0.0001662908428214292,0.12623569890443379,0.025803753199110598,0.04259008169796123,0.007613614891410342,0.047142126499433515,0.018588966062232006,0.022674044707353375,0.001153516531768747,0.023166540665670917,0.0006782055969226059,0.03829504438932763,0.0,0.031248545895032055,0.033233409656568264,0.0,0.018279492235206373,0.011839453818632327,0.0058069134406294,0.05204384999453492,0.08989021420330133,0.009572142295284301,0.029793359323001034,12,THE STANDARD BANK OF S A LTD ,2018-12-01,1317949902000.0,2018
2018-12-01,1095849038349.9999,90723611260.0,B,12.078983884464916,0.0711067439846259,0.028243392254989185,0.16751623147310654,0.001692469391384115,0.024662838437532593,0.0017336204831600202,0.0007742809092693728,0.15464051355063227,0.039616135192584646,0.07947344342258165,0.008525113438205029,0.09408143534513244,0.0037481423676200064,0.033766803040279694,5.5610324429423476e-05,0.005380258547569692,0.02320001006316133,0.028455145863246864,0.0,0.0038670351467976587,0.024957619132280274,0.010837513847116951,0.017430127643695358,0.001060658991666379,0.0018438348050986717,0.03660124000568913,0.04964467386201473,0.05676247862792956,0.030322629848200534,12,FIRSTRAND BANK LIMITED ,2018-12-01,1186572649620.0,2018
2018-12-01,995580998000.0,81574316000.0,C,12.204588978717272,0.05066167458929697,0.06437673759645027,0.20288082986702882,0.0006556101899340396,0.02868546680167982,0.002351191111516904,0.0003529778807738398,0.19724136272515294,0.020335542809196038,0.05777453649548629,0.008696383778876294,0.08533550436534355,0.004140111404584316,0.011936327874811933,0.0004400423911384055,0.0011035855132029734,0.0,0.04282295821269095,0.0,0.012288687460348916,0.04097093745572888,0.0,0.012169981273471209,0.00463068875506657,0.005688418299907305,0.04247832824598589,0.06057741920029185,0.018574014109166804,0.022830681592868232,12,ABSA BANK LTD ,2018-12-01,1077155314000.0,2018
2018-12-01,879033496000.0,73572646000.0,D,11.947830393377451,0.10506034927496825,0.16176832292563573,0.1586887983764438,0.0009139464481848785,0.01640852321945243,0.0010466749646466168,0.0001496536645257112,0.1691208180347844,0.022308163954710258,0.04987888163332879,0.007690736682233149,0.07346649146421314,0.005514587580729665,0.020359744856652415,0.0010794881060088735,0.005449084118964246,0.0,0.02410629008940402,0.0,0.037705295416833456,0.03384139843179806,0.0,0.020771389273700484,0.00854610383144055,0.001896999106268622,0.009193887813500997,0.04724750871908613,7.447359078648477e-05,0.017712388421698838,12,NEDBANK LTD ,2018-12-01,952606142000.0,2018
2018-12-01,415100192000.0,35308983000.0,E,11.756220562908878,0.006563656272241027,0.1882712273529313,0.1525100530034941,0.000304376571157496,0.0032551490614176524,0.0024676251376709304,0.0,0.1738045837405612,0.005208956956103208,0.0664832262053348,0.0005815756319386159,0.05301947069133188,0.00879177696322855,0.0434376321118184,0.017889830991763948,0.013488530764251263,0.0,0.016989156619620718,0.0,0.07941082256908026,0.019327934470535452,2.220203445500868e-09,0.020580120332984158,0.027318781921613345,0.0,0.02546164612535179,0.052401150692370224,0.01914105106571386,0.0032916625272823596,12,INVESTEC BANK LTD ,2018-12-01,450409175000.0,2018
2018-12-01,77224570000.0,20021600000.0,F,3.857062872098134,0.0,0.0,0.0,0.0,0.032221247742276166,0.0,0.0,0.004122671275944929,0.5264328348060837,0.0,0.042588884629823784,0.0,0.0,0.0,0.0,0.0045643647546352775,0.0,3.136370241905255e-05,0.0,-0.0006177209731196412,0.04379419685537853,0.0,0.021143824561032594,0.26956793733742035,0.0,0.05615039530810529,0.0,0.0,0.0,12,CAPITEC BANK ,2018-12-01,97246170000.0,2018
2018-12-01,53053468000.0,6109116000.0,G,8.684311772767124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0494453893359357,0.0,0.05620417120388115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012934695347316135,0.0,0.33865089462623876,0.007070414639090138,0.0,0.019308537977313498,0.12365984555373714,5.763777998608039e-06,0.17205893170589034,0.22066135583259852,0.0,0.0,12,THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED - JOHANNESBURG BRANCH ,2018-12-01,59162584000.0,2018
2018-12-01,51286968420.0,9075349570.0,H,5.6512388888618865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09433750041596732,0.0,0.12494759168285685,3.548273284581738e-05,0.12413617950214602,0.0,0.0,0.0,0.0,0.0,0.049065876577281016,0.0,0.24910928296211107,0.005291536526631627,0.0,0.15513148095991192,2.2691971542066978e-05,0.0030939819161583263,0.02704865911055414,0.167779735641994,0.0,0.0,12,CITIBANK N.A ,2018-12-01,60362317990.0,2018
2018-12-01,28673195000.0,4341765000.0,I,6.604041213653894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07889527161886051,0.0,0.10941646842066158,4.543395285960845e-07,0.03852375152268107,0.0,0.0,0.0,0.0,0.0,0.05665571516570505,0.0,0.34882417081445843,0.05377126494515804,0.0,0.020262967478649148,0.10408340074469884,0.12985208492017725,0.00021469057191260312,0.05949975945750891,0.0,0.0,12,STANDARD CHARTERED BANK ,2018-12-01,33014960000.0,2018
2018-12-01,33980585000.0,4740010000.0,J,7.168884664800285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1040656270906994,1.9111276570001055e-06,0.2511713727539569,0.0,0.01710420513940966,0.0,0.0,0.0,0.00641049033466557,0.0,0.15054897787598565,0.004396058479989784,1.652867162810902e-05,0.015250230529773626,0.10092455965617264,0.0,0.0,0.35011003834006166,0.0,0.0,12,CHINA CONSTRUCTION BANK         CORPORATION - JHB BRANCH ,2018-12-01,38720595000.0,2018
2018-12-01,36607551000.0,7781681000.0,K,4.704324297025283,0.0,0.0,0.00061670357689201,0.0,0.0,0.0,0.0,0.4454256758423523,0.0,0.0,0.0,0.08254983443620958,0.0,0.0,0.0,0.0,0.0,0.0022591738740259885,0.0,0.057466230269568735,0.004767236921294093,0.0,0.0173061103666238,0.0064077247557881994,0.0,0.0,0.3832013099572453,0.0,0.0,12,BANK OF CHINA LTD JHB BRANCH    ,2018-12-01,44389232000.0,2018
2018-12-01,11810840000.0,2446873000.0,M,4.826911735917639,0.012343704772287111,0.17422906464732457,0.1779942547588102,0.0009370366762186895,0.002150555281902504,1.4728869910623114e-06,2.805499030594879e-07,0.11978358661027894,0.0,0.15678804868634963,0.001792924292977422,0.0018095468747336967,0.0,0.010634875312751771,0.007518316577139686,0.0005622220057312137,0.0,0.001255671228618503,0.0,0.04124483358586332,0.05176776948729435,0.0,0.021690154655238186,0.1093025929193553,0.0,0.0,0.056489494493261294,0.0,0.051703593696969495,12,MERCANTILE BANK LTD ,2018-12-01,14257713000.0,2018
2018-12-01,8298203000.0,759149000.0,N,10.930927920605836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008530418161952854,2.64978108391945e-06,0.0,5.520377258165522e-07,0.07286423228334286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5852299877491788,0.014946421426483149,0.0,0.014139563086429677,0.24055364084337233,0.0018573861322823712,0.0,0.06187514849814824,0.0,0.0,12,SOCIETE GENERALE JOHANNESBURG   BRANCH ,2018-12-01,9057352000.0,2018
2018-12-01,17740554000.0,3540472000.0,P,5.010787827159769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1478408042920487,0.0,0.01721491247649432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2129489433451188,0.0,0.0696651561818495,0.0046653765659606826,0.0,0.009999987782543943,0.09968377464507586,0.0,0.0,0.4379810447109082,0.0,0.0,12,BNP PARIBAS SOUTH AFRICA BRANCH ,2018-12-01,21281026000.0,2018
2018-12-01,38552048000.0,6479017000.0,Q,5.950292768177642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09279902868828505,0.0,0.024642566740150754,0.0,0.07110045190138078,0.0,0.0,0.0,0.0,0.0,0.4719609334569576,0.0,0.11528426243714783,0.028484181497465837,0.0,0.004374047213274819,0.00016761762502436097,0.0,0.11885226607126138,0.07233464436905156,0.0,0.0,12,JPMORGAN CHASE BANK             ,2018-12-01,45031065000.0,2018
2018-12-01,7548057000.0,940965000.0,S,8.021612918652659,0.028339791481181924,0.0,0.0,0.0,0.0,0.0,0.0,0.08584561842135333,0.0,0.038770090957517114,0.0002453758491264832,0.0,0.09362190067213899,0.0,0.030139999703145876,0.016047321374509985,0.0,0.010020004669562486,0.04321501026384913,0.19046290159827675,0.03674936252932907,0.0,0.02355867309976254,0.03958325921796844,0.0,0.0,0.02415226354803347,0.0,0.3392484266142444,12,SASFIN BANK LTD ,2018-12-01,8489022000.0,2018
2018-12-01,6542698000.0,2745690000.0,U,2.3828975594477164,0.0031440341889359667,0.04798035395819618,0.004654307503403444,0.0,0.0,0.0,0.0,0.11215911054505169,0.00011078352157021916,0.038450925537647285,0.025334328841881554,0.035445882142051605,0.0,0.0,0.010128563792306198,0.006797091205844719,0.0,0.0014754987007967477,0.0,0.03940232882250251,0.25402295447486295,0.0,0.02110356106039963,0.22715477448447713,0.0,0.0,0.060414916048376545,0.0,0.11222058517169561,12,BIDVEST BANK LIMITED ,2018-12-01,9288388000.0,2018
2018-12-01,7051892000.0,926141000.0,V,7.614274716268905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13073107986253255,0.0,0.19237872388109653,0.0,0.024812002556018186,0.0,0.0,0.0,0.0,0.0,0.3172342960684299,0.0,0.19569570648608417,0.032548996406884204,0.0,0.01572505206169841,0.0006999218103106605,0.05014744233980452,0.033314723903157095,0.006712054623983803,0.0,0.0,12,DEUTSCHE BANK AG ,2018-12-01,7978033000.0,2018
2018-12-01,20375645000.0,7817660000.0,W,2.606361110613662,0.0,0.0,0.0,0.0,0.16571504009799204,0.0,0.0,0.002698122643079792,0.8612392650496801,0.0,0.00011566575003067217,0.05423116912109672,0.0,0.0,0.00018522126545850049,0.0,0.0,0.003005003989067334,0.0,-0.35969980392864165,0.06968356000237928,0.0,0.013388496780459277,0.18943825922939794,0.0,0.0,0.0,0.0,0.0,12,AFRICAN BANK LIMITED ,2018-12-01,28193305000.0,2018
2018-12-01,7501663000.0,1650420000.0,Y,4.545305437403813,0.00043596632591728023,0.002340013743319417,0.000776435266157442,0.0,0.0,0.0,0.0,0.16863603618979417,6.326428639250759e-05,0.028838462238596395,0.0,0.02494339266809534,0.0,0.024793372175492726,0.0,0.0,0.0,0.0006323150696950628,0.0,0.0559969790483762,0.0033196814320849144,0.0,0.02252820478135961,0.0027334760840783457,0.0,0.0,0.6639624006906406,0.0,0.0,12,STATE BANK OF INDIA ,2018-12-01,9152083000.0,2018
